id,origin_city,destination_city,distance_km,estimated_time_hours,vehicle_type,carrier,cost_usd,status,created_at
52,Cali,Tumaco,300,7.0,CAMION,Coordinadora,248.00,ACTIVA,2024-02-01T09:00:00Z
53,Medellín,Rionegro,42,1.0,MOTO_CARGO,Envía,35.00,ACTIVA,2024-02-02T10:30:00Z
54,Barranquilla,Sincelejo,200,4.0,FURGONETA,Deprisa,160.00,ACTIVA,2024-02-02T08:00:00Z
55,Bogotá,Popayán,425,8.0,CAMION,TCC,340.00,INACTIVA,2024-02-03T07:00:00Z
56,Bucaramanga,Valledupar,340,7.0,CAMION,DHL Colombia,272.00,ACTIVA,2024-02-03T09:00:00Z
57,Cali,Bogotá,460,9.0,TRACTOMULA,Servientrega,385.00,ACTIVA,2024-02-04T06:00:00Z
58,Medellín,Montería,450,9.0,TRACTOMULA,TCC,375.00,ACTIVA,2024-02-04T07:00:00Z
59,Bogotá,Quibdó,600,12.0,TRACTOMULA,Coordinadora,505.00,ACTIVA,2024-02-05T06:00:00Z
60,Cartagena,Sincelejo,240,5.0,CAMION,FedEx Colombia,192.00,ACTIVA,2024-02-05T09:00:00Z
61,Pereira,Cali,220,4.5,CAMION,Envía,178.00,ACTIVA,2024-02-06T08:00:00Z
62,Manizales,Medellín,188,3.5,CAMION,TCC,152.00,ACTIVA,2024-02-06T10:00:00Z
63,Bogotá,Mocoa,600,12.5,TRACTOMULA,Coordinadora,505.00,EN_MANTENIMIENTO,2024-02-07T07:00:00Z
64,Cúcuta,Bogotá,586,11.0,TRACTOMULA,Servientrega,495.00,ACTIVA,2024-02-07T06:00:00Z
65,Santa Marta,Valledupar,185,3.5,FURGONETA,Deprisa,148.00,ACTIVA,2024-02-08T09:00:00Z
66,Bogotá,Tunja,148,3.0,CAMION,TCC,120.00,ACTIVA,2024-02-08T08:30:00Z
67,Medellín,Barrancabermeja,195,4.0,CAMION,DHL Colombia,158.00,ACTIVA,2024-02-09T07:00:00Z
68,Cali,Bucaramanga,600,11.5,TRACTOMULA,Coordinadora,505.00,ACTIVA,2024-02-09T06:00:00Z
69,Bogotá,San José del Guaviare,580,12.0,TRACTOMULA,TCC,490.00,SUSPENDIDA,2024-02-10T07:30:00Z
70,Barranquilla,Riohacha,290,6.0,CAMION,Servientrega,232.00,ACTIVA,2024-02-10T08:00:00Z
71,Pereira,Bogotá,290,5.5,CAMION,Envía,238.00,ACTIVA,2024-02-11T07:00:00Z
72,Pasto,Popayán,125,2.5,FURGONETA,Coordinadora,100.00,ACTIVA,2024-02-11T10:00:00Z
73,Bogotá,Medellín,415,8.5,TRACTOMULA,FedEx Colombia,395.00,ACTIVA,2024-02-12T06:00:00Z
74,Cali,Manizales,262,5.0,CAMION,TCC,210.00,INACTIVA,2024-02-12T09:00:00Z
75,Medellín,Barranquilla,740,13.5,TRACTOMULA,Servientrega,622.00,ACTIVA,2024-02-13T06:00:00Z
76,Bucaramanga,Cartagena,620,12.0,TRACTOMULA,DHL Colombia,520.00,ACTIVA,2024-02-13T07:00:00Z
77,Bogotá,Cartagena,1030,18.5,TRACTOMULA,TCC,865.00,ACTIVA,2024-02-14T06:00:00Z
78,Cúcuta,Medellín,580,11.0,TRACTOMULA,Coordinadora,488.00,ACTIVA,2024-02-14T07:00:00Z
79,Barranquilla,Cartagena,120,2.5,CAMION,Deprisa,98.00,ACTIVA,2024-02-15T09:00:00Z
80,Bogotá,Cali,460,9.0,TRACTOMULA,Servientrega,385.00,ACTIVA,2024-02-15T06:00:00Z
81,Medellín,Neiva,430,8.5,TRACTOMULA,TCC,360.00,ACTIVA,2024-02-16T07:00:00Z
82,Cali,Cartagena,1070,19.0,TRACTOMULA,FedEx Colombia,900.00,EN_MANTENIMIENTO,2024-02-16T06:00:00Z
83,Bogotá,Barrancabermeja,310,6.0,CAMION,Coordinadora,248.00,ACTIVA,2024-02-17T08:00:00Z
84,Pereira,Manizales,50,1.0,MOTO_CARGO,Envía,40.00,ACTIVA,2024-02-17T10:30:00Z
85,Medellín,Ibagué,350,7.0,CAMION,TCC,280.00,ACTIVA,2024-02-18T07:00:00Z
86,Cali,Armenia,130,2.5,FURGONETA,Coordinadora,105.00,ACTIVA,2024-02-18T09:00:00Z
87,Bogotá,Montería,500,9.5,TRACTOMULA,Servientrega,420.00,ACTIVA,2024-02-19T06:00:00Z
88,Barranquilla,Montería,310,6.5,TRACTOMULA,DHL Colombia,260.00,SUSPENDIDA,2024-02-19T07:00:00Z
89,Pasto,Medellín,810,16.0,TRACTOMULA,TCC,680.00,ACTIVA,2024-02-20T06:00:00Z
90,Cúcuta,Barranquilla,780,14.5,TRACTOMULA,Coordinadora,655.00,ACTIVA,2024-02-20T07:00:00Z
91,Bogotá,Buenaventura,530,10.0,TRACTOMULA,FedEx Colombia,445.00,ACTIVA,2024-02-21T06:00:00Z
92,Medellín,Pasto,870,17.0,TRACTOMULA,Servientrega,730.00,ACTIVA,2024-02-21T07:00:00Z
93,Cali,Santa Marta,1100,20.0,TRACTOMULA,TCC,925.00,INACTIVA,2024-02-22T06:00:00Z
94,Bogotá,Santa Marta,975,17.5,TRACTOMULA,Coordinadora,820.00,ACTIVA,2024-02-22T07:00:00Z
95,Barranquilla,Bucaramanga,495,9.5,TRACTOMULA,DHL Colombia,415.00,ACTIVA,2024-02-23T06:00:00Z
96,Pereira,Tunja,340,6.5,CAMION,TCC,272.00,ACTIVA,2024-02-23T08:00:00Z
97,Manizales,Cali,262,5.0,CAMION,Envía,212.00,ACTIVA,2024-02-24T07:00:00Z
98,Bogotá,Valledupar,1060,19.5,TRACTOMULA,Servientrega,892.00,ACTIVA,2024-02-24T06:00:00Z
99,Medellín,Florencia,560,11.0,TRACTOMULA,TCC,470.00,EN_MANTENIMIENTO,2024-02-25T07:00:00Z
100,Cali,Barranquilla,1050,18.0,TRACTOMULA,FedEx Colombia,882.00,ACTIVA,2024-02-25T06:00:00Z
